endTime,artistName,trackName,msPlayed
2022-05-08 15:36,BAEKHYUN,Bambi,213053
2022-05-08 15:39,KAI,Mmmh,192346
2022-05-08 15:42,ENHYPEN,Blessed-Cursed,170805
2022-05-08 15:45,Jus2,FOCUS ON ME,216458
2022-05-08 15:49,NCT 127,Favorite (Vampire),215586
2022-05-08 15:53,ATEEZ,Treasure,220846
2022-05-08 15:55,ENHYPEN,FEVER,172106
2022-05-08 15:58,SEVENTEEN,Anyone,176933
2022-05-08 16:02,NCT U,Universe (Let's Play Ball),231466
2022-05-08 16:06,ATEEZ,Answer,219760
2022-05-08 16:10,ATEEZ,Take Me Home,221000
2022-05-08 16:13,SEVENTEEN,Pretty U,207299
2022-05-08 16:17,ATEEZ,Deja Vu,196670
2022-05-08 16:19,Israel Kamakawiwo'ole,Hele On To Kauai,146306
2022-05-08 16:21,ENHYPEN,Tamed-Dashed,98494
2022-05-08 16:57,ENHYPEN,Tamed-Dashed,97687
2022-05-08 17:00,ENHYPEN,Upper Side Dreamin’,189402
2022-05-08 17:03,TAEYONG,Love Theory,199920
2022-05-08 17:06,SEVENTEEN,Darl+ing,176546
2022-05-08 17:09,TWICE,"HELLO (NAYEON, MOMO, CHAEYOUNG)",183213
2022-05-08 17:13,THE BOYZ,The Stealer,210938
2022-05-08 17:16,Harry Styles,As It Was,167303
2022-05-08 17:20,NCT U,OK!,229000
2022-05-08 17:23,ATEEZ,The Real - Heung Version,210051
2022-05-08 17:26,Jack Harlow,First Class,173947
2022-05-08 17:28,Jay Park,All I Wanna Do (K) (Feat. Hoody & Loco),144945
2022-05-08 18:06,JUNNY,Get Ya! (feat. pH-1),159973
2022-05-08 18:09,BIG Naughty,Beyond Love (Feat. 10CM),188946
2022-05-08 18:12,KimYeji,SHE IS MINE,182263
2022-05-08 18:15,VVON,"Hold Up (Feat. Coogie, SUMIN)",191228
2022-05-08 18:17,88rising,Best Lover,151972
2022-05-08 18:20,Sweet The Kid,true colors (feat. Rovv),155137
2022-05-08 18:23,Ku One Chan,glass,209001
2022-05-08 18:26,WONWOO,Bittersweet (feat. LeeHi),175387
2022-05-08 18:30,BAEKHYUN,Bambi,213682
2022-05-08 18:33,Seori,Lovers In The Night,211384
2022-05-08 18:37,KAI,Peaches,198522
2022-05-08 18:40,YUGYEOM,All Your Fault (Feat. GRAY),182314
2022-05-08 18:42,D.O.,I'm Gonna Love You,151873
2022-05-08 18:45,JUNNY,MOVIE,183570
2022-05-08 18:48,DPR IAN,No Blueberries,185250
2022-05-08 18:52,LeeHi,ONLY,241434
2022-05-08 18:56,BAEKHYUN,Cry For Love,211466
2022-05-08 18:59,88rising,The Weekend,167966
2022-05-08 19:02,aespa,Lucid Dream,210913
2022-05-08 19:06,Seori,Dive with you (feat. eaJ),218543
2022-05-08 19:09,Sam Kim,Make Up (Feat. Crush),208139
2022-05-08 19:13,JUNNY,By My Side,206951
2022-05-08 19:17,Raiden,Yours,236110
2022-05-08 19:20,LeeHi,For You,205905
2022-05-08 19:24,BAEKHYUN,Candy,227466
2022-05-08 19:27,NIve,Like A Fool,215004
2022-05-08 19:31,YUGYEOM,I Want U Around (Feat. DeVita),191550
2022-05-08 19:34,JAY B,B.T.W (feat. Jay Park) - Prod. Cha Cha Malone,193298
2022-05-08 19:37,DPR IAN,Scaredy Cat,170723
2022-05-08 19:41,Dvwn,Last,236864
2022-05-08 19:44,BAEKHYUN,Love Again,206172
2022-05-08 19:48,Crush,Mayday (feat. 조이),199568
2022-05-08 19:52,DEAN,D (Half Moon),229669
2022-05-08 19:52,BTS,Permission to Dance - R&B Remix,14018
2022-05-08 19:55,Seori,Running Through The Night,218281
2022-05-08 19:57,DPR IAN,zombie pop,114208
2022-05-08 20:02,Chancellor,AUTOMATIC,269189
2022-05-08 20:05,WONHO,Losing You,178507
2022-05-08 20:08,JAY B,Switch It Up (feat. sokodomo) - Prod. Cha Cha Malone,215560
2022-05-08 20:11,YUGYEOM,Love The Way (Feat. Jay Park & punchnello),182096
2022-05-08 20:15,BAEKHYUN,All I Got,241034
2022-05-08 20:18,TAEYEON,What Do I Call You,167804
2022-05-08 20:22,DEAN,What 2 Do,224469
2022-05-08 20:25,JUNNY,nostalgia,197353
2022-05-08 20:28,DPR IAN,Nerves,195121
2022-05-08 20:32,CL,Wish You Were Here,221343
2022-05-08 20:35,WOODZ,Touché (Feat. MOON),180406
2022-05-08 20:38,Moon Sujin,The Moon (Feat. TAEIL of NCT),162766
2022-05-08 20:41,Seori,긴 밤 (feat. GIRIBOY),211462
2022-05-08 20:46,BIBI,Restless,267984
2022-05-08 20:50,BAEKHYUN,Amusement Park,257392
2022-05-08 20:53,DPR IAN,Dope Lovers,200396
2022-05-08 20:57,Mind Combined,Can You Understand,210535
2022-05-08 21:00,Jay Park,GANADARA (Feat. IU),204188
2022-05-08 21:03,GEMINI,Broken Love,174149
2022-05-08 21:06,Moon Jong Up,US,179961
2022-05-08 21:09,JAMIE,Apollo 11 (feat. Jay Park),201308
2022-05-08 21:13,DPR IAN,So Beautiful,187519
2022-05-08 21:16,KIM WOO SEOK,Sugar,183766
2022-05-08 21:19,BANG YE DAM,WAYO,205342
2022-05-08 21:22,KAI,To Be Honest,174550
2022-05-08 21:26,GEMINI,Know me,214748
2022-05-08 21:29,Jay Park,SUMMERIDE,218504
2022-05-08 21:31,DeVita,Movies,115922
2022-05-08 21:35,Yerin Baek,Square (2017),262081
2022-05-08 21:38,Dept,Winter blossom,169107
2022-05-08 21:42,Eric Nam,Wildfire,196747
2022-05-08 21:45,LeeHi,HOLO,178743
2022-05-08 21:48,SOLE,haPPiness,211304
2022-05-08 21:51,Rad Museum,Dancing In The Rain,203256
2022-05-08 22:22,Sam Kim,Love Me Like That,101250
2022-05-08 22:24,Israel Kamakawiwo'ole,Hele On To Kauai,111525
2022-05-08 22:26,Elvis Presley,Ku-U-I-Po,3053
2022-05-08 23:49,Jay Park,All I Wanna Do (K) (Feat. Hoody & Loco),2304
2022-05-08 23:51,Jay Park,All I Wanna Do (K) (Feat. Hoody & Loco),69782
2022-05-08 23:54,SEVENTEEN,Crush,169560
2022-05-08 23:58,NCT 127,Sticker,227773
2022-05-09 01:51,GOT the beat,Step Back,205894
2022-05-09 01:59,Halau Hula Ka No'eau (Hawai'i Arts Ensemble),Aia La O Pele (There is Pele),3989
2022-05-09 02:10,Halau Hula Ka No'eau (Hawai'i Arts Ensemble),Aia La O Pele (There is Pele),263040
2022-05-09 03:27,THE BOYZ,The Stealer,211555
2022-05-09 03:30,SuperM,Dangerous Woman,189356
2022-05-09 03:34,LOONA,Singing in the Rain,212217
2022-05-09 03:37,BTS,Airplane pt.2,218340
2022-05-09 03:39,Halau Hula Ka No'eau (Hawai'i Arts Ensemble),Aia La O Pele (There is Pele),91509
2022-05-09 03:41,Jay Park,V,227843
2022-05-09 03:45,NCT 127,Love Song,215381
2022-05-09 03:49,YUGYEOM,Running Through The Rain,243861
2022-05-09 03:52,BTS,dimple,195666
2022-05-09 03:55,EXO,Love Shot,200506
2022-05-09 03:59,Red Velvet,Pose,200895
2022-05-09 04:02,TOMORROW X TOGETHER,20cm,217229
2022-05-09 04:05,SuperM,No Manners,183970
2022-05-09 04:09,GOT7,You Calling My Name,194911
2022-05-09 04:12,GOT the beat,Step Back,229281
2022-05-09 04:15,EXO,The Eve,175843
2022-05-09 04:19,ATEEZ,Answer,220225
2022-05-09 04:22,BAEKHYUN,R U Ridin’?,175022
2022-05-09 04:25,TAEMIN,Advice,191900
2022-05-09 04:28,TOMORROW X TOGETHER,PUMA,206330
2022-05-09 04:32,CIX,Jungle,229313
2022-05-09 04:35,SEVENTEEN,Light a Flame,189919
2022-05-09 04:38,NCT,Baby Don’t Stop,183389
2022-05-09 04:42,Red Velvet,Bad Boy,209994
2022-05-09 04:45,STAYC,I WANT U BABY,173912
2022-05-09 04:48,NCT DREAM,BOOM,195330
2022-05-09 04:51,SEVENTEEN,Good to Me,190146
2022-05-09 04:55,NCT 127,Favorite (Vampire),216047
2022-05-09 04:58,WayV,Action Figure,200322
2022-05-09 05:02,Youngjae,Lonely,224559
2022-05-09 05:05,CHUNG HA,Bicycle,179566
2022-05-09 05:08,TWICE,FANCY,214506
2022-05-09 05:12,Jus2,FOCUS ON ME,216692
2022-05-09 05:15,WayV,Nectar,198819
2022-05-09 05:18,TWICE,"HELLO (NAYEON, MOMO, CHAEYOUNG)",183768
2022-05-09 05:22,KAI,Mmmh,192784
2022-05-09 05:26,ATEEZ,Deja Vu,235596
2022-05-09 05:29,BUMKEY,COVID-19 (feat. SUPERBEE),197156
2022-05-09 05:33,EXO,Ya Ya Ya,222463
2022-05-09 05:36,SEVENTEEN,Fear,175799
2022-05-09 05:39,SEVENTEEN,24H,189209
2022-05-09 05:43,SEVENTEEN,Fast Pace,221632
